Fiscal Year/Quarter,Fiscal Year,Date,Quarter,Number of Clients Stably Housed,Total Number of Clients,Percentage
2017 Q2,2017,12/31/2016 12:00:00 AM +0000,Q2,124,474,26%
2017 Q3,2017,03/31/2017 12:00:00 AM +0000,Q3,138,457,30%
2017 Q4,2017,06/30/2017 12:00:00 AM +0000,Q4,169,362,47%
2018 Q1,2018,09/30/2018 12:00:00 AM +0000,Q1,113,341,33%
2018 Q2,2018,12/31/2018 12:00:00 AM +0000,Q2,97,456,21%
2015 Q1,2015,09/30/2014 12:00:00 AM +0000,Q1,28,102,27%
2015 Q2,2015,12/31/2014 12:00:00 AM +0000,Q2,66,118,56%
2015 Q3,2015,03/31/2015 12:00:00 AM +0000,Q3,100,102,98%
2015 Q4,2015,06/30/2015 12:00:00 AM +0000,Q4,70,74,95%
2016 Q1,2016,09/30/2015 12:00:00 AM +0000,Q1,103,294,35%
2016 Q2,2016,12/31/2015 12:00:00 AM +0000,Q2,68,277,25%
2016 Q3,2016,03/31/2016 12:00:00 AM +0000,Q3,31,239,13%
2016 Q4,2016,06/30/2016 12:00:00 AM +0000,Q4,62,271,23%
2017 Q1,2017,09/30/2016 12:00:00 AM +0000,Q1,80,397,20%
